household_id,household_name,family_size,adults_count,children_count,elderly_count,activity_profile,dietary_preference
41,Household_0041,5,1,4,0,ACTIVE,BALANCED
42,Household_0042,2,2,0,0,SEDENTARY,BALANCED
43,Household_0043,5,3,1,1,ACTIVE,BALANCED
44,Household_0044,3,2,1,0,MODERATE,BALANCED
45,Household_0045,2,2,0,0,MODERATE,VEGETARIAN
46,Household_0046,3,3,0,0,MODERATE,LOW_SUGAR
47,Household_0047,3,1,2,0,ACTIVE,VEGETARIAN
48,Household_0048,2,2,0,0,MODERATE,BALANCED
49,Household_0049,3,1,2,0,SEDENTARY,LOW_SUGAR
50,Household_0050,3,1,2,0,SEDENTARY,BALANCED
51,Household_0051,5,2,3,0,SEDENTARY,BALANCED
52,Household_0052,3,1,2,0,ACTIVE,BALANCED
53,Household_0053,4,3,1,0,MODERATE,BALANCED
54,Household_0054,4,2,2,0,MODERATE,LOW_SUGAR
55,Household_0055,4,2,1,1,MODERATE,BALANCED
56,Household_0056,5,3,2,0,MODERATE,BALANCED
57,Household_0057,1,1,0,0,MODERATE,LOW_SUGAR
58,Household_0058,1,1,0,0,MODERATE,BALANCED
59,Household_0059,4,2,2,0,SEDENTARY,LOW_SUGAR
60,Household_0060,3,3,0,0,ACTIVE,BALANCED
61,Household_0061,3,2,1,0,SEDENTARY,VEGETARIAN
62,Household_0062,5,2,3,0,MODERATE,LOW_SUGAR
63,Household_0063,5,2,3,0,MODERATE,BALANCED
64,Household_0064,2,2,0,0,SEDENTARY,VEGETARIAN
65,Household_0065,5,1,4,0,MODERATE,BALANCED
66,Household_0066,3,1,2,0,MODERATE,VEGETARIAN
67,Household_0067,5,1,4,0,MODERATE,LOW_SUGAR
68,Household_0068,2,2,0,0,SEDENTARY,VEGETARIAN
69,Household_0069,4,3,0,1,SEDENTARY,BALANCED
70,Household_0070,4,1,3,0,SEDENTARY,BALANCED
71,Household_0071,4,3,1,0,MODERATE,LOW_SUGAR
72,Household_0072,2,1,0,1,MODERATE,BALANCED
73,Household_0073,3,3,0,0,MODERATE,LOW_SUGAR
74,Household_0074,5,1,4,0,MODERATE,BALANCED
75,Household_0075,2,2,0,0,MODERATE,BALANCED
76,Household_0076,2,2,0,0,ACTIVE,BALANCED
77,Household_0077,5,2,3,0,MODERATE,LOW_SODIUM
78,Household_0078,3,2,1,0,MODERATE,BALANCED
79,Household_0079,2,2,0,0,MODERATE,BALANCED
80,Household_0080,1,1,0,0,MODERATE,BALANCED
81,Household_0081,6,2,4,0,ACTIVE,VEGETARIAN
82,Household_0082,3,3,0,0,SEDENTARY,VEGETARIAN
83,Household_0083,3,2,1,0,ACTIVE,VEGETARIAN
84,Household_0084,5,1,4,0,MODERATE,BALANCED
85,Household_0085,5,1,4,0,MODERATE,BALANCED
86,Household_0086,4,2,2,0,ACTIVE,LOW_SUGAR
87,Household_0087,4,3,1,0,SEDENTARY,LOW_SUGAR
88,Household_0088,7,1,6,0,SEDENTARY,BALANCED
89,Household_0089,5,1,4,0,MODERATE,LOW_SUGAR
90,Household_0090,4,3,1,0,MODERATE,BALANCED
91,Household_0091,5,3,2,0,ACTIVE,VEGETARIAN
92,Household_0092,5,1,4,0,MODERATE,BALANCED
93,Household_0093,4,2,1,1,MODERATE,LOW_SUGAR
94,Household_0094,4,2,2,0,ACTIVE,BALANCED
95,Household_0095,3,1,2,0,SEDENTARY,BALANCED
96,Household_0096,1,1,0,0,MODERATE,BALANCED
97,Household_0097,3,1,2,0,MODERATE,BALANCED
98,Household_0098,1,1,0,0,ACTIVE,BALANCED
99,Household_0099,2,2,0,0,MODERATE,LOW_SODIUM
100,Household_0100,2,2,0,0,MODERATE,BALANCED
101,Household_0101,1,1,0,0,MODERATE,BALANCED
102,Household_0102,4,3,0,1,MODERATE,VEGETARIAN
103,Household_0103,3,1,2,0,MODERATE,LOW_SODIUM
104,Household_0104,2,2,0,0,MODERATE,BALANCED
105,Household_0105,1,1,0,0,ACTIVE,LOW_SODIUM
106,Household_0106,4,1,3,0,MODERATE,BALANCED
107,Household_0107,2,2,0,0,MODERATE,BALANCED
108,Household_0108,4,2,2,0,MODERATE,BALANCED
109,Household_0109,6,3,3,0,MODERATE,BALANCED
110,Household_0110,4,3,1,0,MODERATE,BALANCED
111,Household_0111,3,2,1,0,MODERATE,BALANCED
112,Household_0112,2,2,0,0,SEDENTARY,BALANCED
113,Household_0113,5,2,3,0,MODERATE,BALANCED
114,Household_0114,2,2,0,0,MODERATE,BALANCED
115,Household_0115,2,2,0,0,MODERATE,BALANCED
116,Household_0116,4,1,2,1,MODERATE,BALANCED
117,Household_0117,3,1,2,0,MODERATE,BALANCED
118,Household_0118,5,1,4,0,MODERATE,BALANCED
119,Household_0119,1,1,0,0,MODERATE,BALANCED
120,Household_0120,4,1,3,0,ACTIVE,BALANCED
121,Household_0121,3,3,0,0,MODERATE,BALANCED
122,Household_0122,4,1,2,1,ACTIVE,BALANCED
123,Household_0123,6,2,4,0,ACTIVE,BALANCED
124,Household_0124,1,1,0,0,SEDENTARY,BALANCED
125,Household_0125,2,2,0,0,MODERATE,BALANCED
126,Household_0126,3,3,0,0,ACTIVE,BALANCED
127,Household_0127,5,3,2,0,MODERATE,BALANCED
128,Household_0128,4,3,0,1,MODERATE,VEGETARIAN
129,Household_0129,4,1,3,0,ACTIVE,BALANCED
130,Household_0130,2,2,0,0,MODERATE,LOW_SODIUM
131,Household_0131,7,1,6,0,MODERATE,BALANCED
132,Household_0132,4,3,0,1,MODERATE,VEGETARIAN
133,Household_0133,5,2,3,0,MODERATE,LOW_SODIUM
134,Household_0134,4,3,1,0,SEDENTARY,VEGETARIAN
135,Household_0135,3,3,0,0,ACTIVE,BALANCED
136,Household_0136,5,1,4,0,MODERATE,BALANCED
137,Household_0137,5,3,1,1,SEDENTARY,BALANCED
138,Household_0138,6,1,5,0,ACTIVE,BALANCED
139,Household_0139,4,1,2,1,MODERATE,BALANCED
140,Household_0140,3,1,2,0,MODERATE,LOW_SODIUM
141,Household_0141,4,2,2,0,MODERATE,BALANCED
142,Household_0142,3,1,2,0,SEDENTARY,BALANCED
143,Household_0143,3,3,0,0,ACTIVE,BALANCED
144,Household_0144,2,2,0,0,SEDENTARY,LOW_SODIUM
145,Household_0145,4,3,1,0,SEDENTARY,BALANCED
146,Household_0146,4,1,3,0,SEDENTARY,LOW_SODIUM
147,Household_0147,4,1,3,0,SEDENTARY,BALANCED
148,Household_0148,7,2,4,1,MODERATE,BALANCED
149,Household_0149,5,2,3,0,ACTIVE,VEGETARIAN
150,Household_0150,4,1,3,0,MODERATE,BALANCED
151,Household_0151,4,2,2,0,MODERATE,BALANCED
152,Household_0152,5,2,3,0,SEDENTARY,BALANCED
153,Household_0153,1,1,0,0,MODERATE,BALANCED
154,Household_0154,2,2,0,0,SEDENTARY,LOW_SUGAR
155,Household_0155,4,3,1,0,MODERATE,VEGETARIAN
156,Household_0156,3,3,0,0,MODERATE,VEGETARIAN
157,Household_0157,2,2,0,0,ACTIVE,BALANCED
158,Household_0158,6,1,5,0,SEDENTARY,VEGETARIAN
159,Household_0159,3,1,2,0,ACTIVE,BALANCED
160,Household_0160,4,3,1,0,ACTIVE,BALANCED
161,Household_0161,4,2,1,1,MODERATE,BALANCED
162,Household_0162,4,3,0,1,MODERATE,VEGETARIAN
163,Household_0163,1,1,0,0,MODERATE,VEGETARIAN
164,Household_0164,5,3,2,0,MODERATE,LOW_SUGAR
165,Household_0165,2,2,0,0,SEDENTARY,BALANCED
166,Household_0166,3,1,2,0,MODERATE,BALANCED
167,Household_0167,7,1,6,0,ACTIVE,LOW_SUGAR
168,Household_0168,4,3,1,0,MODERATE,LOW_SODIUM
169,Household_0169,4,2,2,0,SEDENTARY,VEGETARIAN
170,Household_0170,5,3,1,1,ACTIVE,LOW_SUGAR
171,Household_0171,4,3,0,1,MODERATE,VEGETARIAN
172,Household_0172,5,1,3,1,SEDENTARY,BALANCED
173,Household_0173,3,3,0,0,ACTIVE,VEGETARIAN
174,Household_0174,2,2,0,0,MODERATE,BALANCED
175,Household_0175,6,2,4,0,ACTIVE,LOW_SODIUM
176,Household_0176,3,3,0,0,MODERATE,BALANCED
177,Household_0177,1,1,0,0,ACTIVE,LOW_SODIUM
178,Household_0178,7,2,5,0,ACTIVE,BALANCED
179,Household_0179,4,3,1,0,ACTIVE,LOW_SODIUM
180,Household_0180,2,2,0,0,MODERATE,BALANCED
181,Household_0181,6,1,5,0,MODERATE,BALANCED
182,Household_0182,4,3,0,1,MODERATE,BALANCED
183,Household_0183,2,1,0,1,MODERATE,BALANCED
184,Household_0184,4,1,3,0,MODERATE,VEGETARIAN
185,Household_0185,4,3,1,0,MODERATE,VEGETARIAN
186,Household_0186,3,2,1,0,SEDENTARY,BALANCED
187,Household_0187,4,1,3,0,MODERATE,LOW_SUGAR
188,Household_0188,2,2,0,0,SEDENTARY,BALANCED
189,Household_0189,3,3,0,0,MODERATE,BALANCED
190,Household_0190,3,3,0,0,ACTIVE,BALANCED
191,Household_0191,3,3,0,0,MODERATE,BALANCED
192,Household_0192,4,3,1,0,ACTIVE,VEGETARIAN
193,Household_0193,2,2,0,0,ACTIVE,BALANCED
194,Household_0194,2,2,0,0,MODERATE,VEGETARIAN
195,Household_0195,3,1,2,0,MODERATE,LOW_SUGAR
196,Household_0196,2,2,0,0,SEDENTARY,BALANCED
197,Household_0197,2,1,0,1,SEDENTARY,BALANCED
198,Household_0198,4,1,3,0,SEDENTARY,BALANCED
199,Household_0199,5,3,2,0,MODERATE,LOW_SUGAR
200,Household_0200,2,2,0,0,SEDENTARY,BALANCED
201,Household_0201,2,2,0,0,MODERATE,BALANCED
202,Household_0202,2,2,0,0,SEDENTARY,BALANCED
203,Household_0203,2,1,0,1,MODERATE,BALANCED
204,Household_0204,4,2,2,0,SEDENTARY,LOW_SODIUM
205,Household_0205,4,1,3,0,SEDENTARY,VEGETARIAN
206,Household_0206,6,2,3,1,SEDENTARY,BALANCED
207,Household_0207,5,1,4,0,MODERATE,BALANCED
208,Household_0208,2,2,0,0,MODERATE,BALANCED
209,Household_0209,4,3,1,0,MODERATE,BALANCED
210,Household_0210,4,1,3,0,SEDENTARY,BALANCED
211,Household_0211,4,3,1,0,ACTIVE,BALANCED
212,Household_0212,4,3,1,0,SEDENTARY,BALANCED
213,Household_0213,4,1,2,1,SEDENTARY,BALANCED
214,Household_0214,3,3,0,0,SEDENTARY,BALANCED
215,Household_0215,2,1,0,1,MODERATE,BALANCED
216,Household_0216,5,2,3,0,MODERATE,LOW_SUGAR
217,Household_0217,4,1,3,0,MODERATE,BALANCED
218,Household_0218,4,1,3,0,MODERATE,LOW_SUGAR
219,Household_0219,3,1,2,0,SEDENTARY,BALANCED
220,Household_0220,3,1,2,0,MODERATE,BALANCED
221,Household_0221,3,3,0,0,ACTIVE,LOW_SUGAR
222,Household_0222,2,2,0,0,SEDENTARY,BALANCED
223,Household_0223,2,2,0,0,SEDENTARY,BALANCED
224,Household_0224,3,2,1,0,SEDENTARY,VEGETARIAN
225,Household_0225,2,1,0,1,MODERATE,BALANCED
226,Household_0226,7,1,6,0,SEDENTARY,BALANCED
227,Household_0227,6,1,5,0,ACTIVE,LOW_SODIUM
228,Household_0228,2,1,0,1,SEDENTARY,LOW_SUGAR
229,Household_0229,6,3,2,1,MODERATE,BALANCED
230,Household_0230,2,1,0,1,MODERATE,BALANCED
231,Household_0231,3,2,1,0,MODERATE,BALANCED
232,Household_0232,2,2,0,0,SEDENTARY,LOW_SUGAR
233,Household_0233,3,1,2,0,MODERATE,BALANCED
234,Household_0234,3,3,0,0,MODERATE,BALANCED
235,Household_0235,3,1,2,0,SEDENTARY,BALANCED
236,Household_0236,7,1,6,0,MODERATE,LOW_SODIUM
237,Household_0237,2,2,0,0,MODERATE,LOW_SODIUM
238,Household_0238,4,2,2,0,MODERATE,BALANCED
239,Household_0239,3,1,2,0,ACTIVE,LOW_SODIUM
240,Household_0240,6,3,2,1,SEDENTARY,LOW_SUGAR
241,Household_0241,6,2,3,1,SEDENTARY,BALANCED
242,Household_0242,4,1,3,0,MODERATE,LOW_SODIUM
243,Household_0243,2,1,0,1,MODERATE,BALANCED
244,Household_0244,2,2,0,0,SEDENTARY,LOW_SODIUM
245,Household_0245,4,2,2,0,MODERATE,BALANCED
246,Household_0246,5,3,2,0,MODERATE,LOW_SODIUM
247,Household_0247,3,1,2,0,MODERATE,BALANCED
248,Household_0248,3,2,1,0,MODERATE,BALANCED
249,Household_0249,2,2,0,0,ACTIVE,BALANCED
250,Household_0250,4,2,2,0,ACTIVE,LOW_SUGAR
251,Household_0251,2,2,0,0,ACTIVE,LOW_SUGAR
252,Household_0252,3,2,1,0,SEDENTARY,LOW_SODIUM
253,Household_0253,4,2,2,0,MODERATE,VEGETARIAN
254,Household_0254,4,3,1,0,SEDENTARY,BALANCED
255,Household_0255,2,2,0,0,MODERATE,BALANCED
256,Household_0256,4,1,3,0,MODERATE,VEGETARIAN
257,Household_0257,3,3,0,0,ACTIVE,BALANCED
258,Household_0258,5,3,2,0,SEDENTARY,BALANCED
259,Household_0259,4,3,1,0,SEDENTARY,BALANCED
260,Household_0260,4,3,1,0,MODERATE,LOW_SUGAR
261,Household_0261,4,1,3,0,MODERATE,BALANCED
262,Household_0262,3,1,2,0,SEDENTARY,VEGETARIAN
263,Household_0263,4,2,2,0,MODERATE,BALANCED
264,Household_0264,6,3,3,0,SEDENTARY,BALANCED
265,Household_0265,3,3,0,0,MODERATE,BALANCED
266,Household_0266,5,3,2,0,ACTIVE,BALANCED
267,Household_0267,4,2,2,0,ACTIVE,LOW_SUGAR
268,Household_0268,2,2,0,0,MODERATE,LOW_SUGAR
269,Household_0269,3,3,0,0,MODERATE,VEGETARIAN
270,Household_0270,6,2,3,1,MODERATE,BALANCED
271,Household_0271,7,2,5,0,ACTIVE,BALANCED
272,Household_0272,6,1,5,0,ACTIVE,BALANCED
273,Household_0273,4,2,2,0,MODERATE,BALANCED
274,Household_0274,3,1,2,0,ACTIVE,BALANCED
275,Household_0275,3,1,2,0,MODERATE,BALANCED
276,Household_0276,5,3,2,0,MODERATE,BALANCED
277,Household_0277,4,2,2,0,MODERATE,BALANCED
278,Household_0278,3,2,1,0,SEDENTARY,BALANCED
279,Household_0279,3,3,0,0,MODERATE,VEGETARIAN
280,Household_0280,3,3,0,0,MODERATE,LOW_SUGAR
281,Household_0281,1,1,0,0,MODERATE,BALANCED
282,Household_0282,6,1,4,1,SEDENTARY,BALANCED
283,Household_0283,2,2,0,0,ACTIVE,BALANCED
284,Household_0284,4,3,1,0,SEDENTARY,LOW_SUGAR
285,Household_0285,2,2,0,0,ACTIVE,BALANCED
286,Household_0286,2,2,0,0,SEDENTARY,BALANCED
287,Household_0287,4,3,1,0,SEDENTARY,LOW_SODIUM
288,Household_0288,3,1,2,0,MODERATE,BALANCED
289,Household_0289,3,1,2,0,MODERATE,BALANCED
290,Household_0290,2,2,0,0,ACTIVE,VEGETARIAN
291,Household_0291,3,1,2,0,MODERATE,LOW_SUGAR
292,Household_0292,3,3,0,0,SEDENTARY,BALANCED
293,Household_0293,4,3,1,0,MODERATE,BALANCED
294,Household_0294,2,2,0,0,SEDENTARY,LOW_SUGAR
295,Household_0295,1,1,0,0,SEDENTARY,LOW_SODIUM
296,Household_0296,2,2,0,0,MODERATE,BALANCED
297,Household_0297,2,2,0,0,SEDENTARY,LOW_SUGAR
298,Household_0298,5,1,4,0,ACTIVE,BALANCED
299,Household_0299,4,1,3,0,SEDENTARY,BALANCED
300,Household_0300,5,1,4,0,SEDENTARY,BALANCED
301,Household_0301,2,2,0,0,SEDENTARY,BALANCED
302,Household_0302,4,3,1,0,MODERATE,VEGETARIAN
303,Household_0303,5,3,2,0,MODERATE,BALANCED
304,Household_0304,3,1,2,0,MODERATE,BALANCED
305,Household_0305,4,2,2,0,MODERATE,BALANCED
306,Household_0306,3,3,0,0,MODERATE,VEGETARIAN
307,Household_0307,4,2,2,0,SEDENTARY,VEGETARIAN
308,Household_0308,3,3,0,0,ACTIVE,LOW_SODIUM
309,Household_0309,3,2,1,0,SEDENTARY,BALANCED
310,Household_0310,4,3,1,0,MODERATE,BALANCED
311,Household_0311,2,2,0,0,ACTIVE,VEGETARIAN
312,Household_0312,3,2,1,0,SEDENTARY,BALANCED
313,Household_0313,1,1,0,0,ACTIVE,BALANCED
314,Household_0314,4,1,3,0,MODERATE,BALANCED
315,Household_0315,4,2,2,0,ACTIVE,BALANCED
316,Household_0316,1,1,0,0,SEDENTARY,VEGETARIAN
317,Household_0317,5,3,2,0,MODERATE,LOW_SUGAR
318,Household_0318,4,1,3,0,SEDENTARY,VEGETARIAN
319,Household_0319,3,1,2,0,MODERATE,BALANCED
320,Household_0320,1,1,0,0,SEDENTARY,LOW_SUGAR
321,Household_0321,2,2,0,0,MODERATE,BALANCED
322,Household_0322,3,2,1,0,MODERATE,BALANCED
323,Household_0323,4,3,1,0,MODERATE,BALANCED
324,Household_0324,3,1,2,0,MODERATE,VEGETARIAN
325,Household_0325,4,3,0,1,SEDENTARY,BALANCED
326,Household_0326,2,2,0,0,MODERATE,BALANCED
327,Household_0327,3,2,1,0,MODERATE,BALANCED
328,Household_0328,4,3,1,0,SEDENTARY,BALANCED
329,Household_0329,4,1,3,0,MODERATE,LOW_SUGAR
330,Household_0330,3,2,1,0,SEDENTARY,LOW_SODIUM
331,Household_0331,4,3,1,0,MODERATE,BALANCED
332,Household_0332,4,1,3,0,MODERATE,BALANCED
333,Household_0333,5,3,2,0,SEDENTARY,VEGETARIAN
334,Household_0334,3,1,2,0,SEDENTARY,BALANCED
335,Household_0335,5,2,3,0,MODERATE,LOW_SODIUM
336,Household_0336,4,2,2,0,MODERATE,LOW_SODIUM
337,Household_0337,2,2,0,0,MODERATE,BALANCED
338,Household_0338,7,3,4,0,ACTIVE,BALANCED
339,Household_0339,4,2,2,0,ACTIVE,BALANCED
340,Household_0340,4,2,1,1,ACTIVE,BALANCED
341,Household_0341,4,2,2,0,MODERATE,VEGETARIAN
342,Household_0342,7,3,4,0,ACTIVE,BALANCED
343,Household_0343,5,3,2,0,ACTIVE,BALANCED
344,Household_0344,5,2,2,1,SEDENTARY,BALANCED
345,Household_0345,2,1,0,1,SEDENTARY,BALANCED
346,Household_0346,4,3,1,0,MODERATE,LOW_SUGAR
347,Household_0347,1,1,0,0,MODERATE,BALANCED
348,Household_0348,4,2,1,1,MODERATE,LOW_SUGAR
349,Household_0349,5,3,2,0,MODERATE,BALANCED
350,Household_0350,1,1,0,0,ACTIVE,BALANCED
351,Household_0351,5,3,1,1,MODERATE,VEGETARIAN
352,Household_0352,4,2,2,0,ACTIVE,BALANCED
353,Household_0353,4,2,1,1,MODERATE,BALANCED
354,Household_0354,4,1,3,0,ACTIVE,VEGETARIAN
355,Household_0355,4,2,2,0,MODERATE,BALANCED
356,Household_0356,4,2,2,0,SEDENTARY,BALANCED
357,Household_0357,3,2,1,0,MODERATE,BALANCED
358,Household_0358,2,2,0,0,SEDENTARY,BALANCED
359,Household_0359,7,1,5,1,MODERATE,BALANCED
360,Household_0360,4,1,3,0,SEDENTARY,VEGETARIAN
361,Household_0361,4,2,2,0,SEDENTARY,BALANCED
362,Household_0362,5,1,3,1,ACTIVE,BALANCED
363,Household_0363,4,3,1,0,SEDENTARY,VEGETARIAN
364,Household_0364,2,2,0,0,ACTIVE,LOW_SUGAR
365,Household_0365,4,1,2,1,MODERATE,BALANCED
366,Household_0366,2,2,0,0,SEDENTARY,BALANCED
367,Household_0367,4,1,2,1,MODERATE,BALANCED
368,Household_0368,6,2,3,1,ACTIVE,VEGETARIAN
369,Household_0369,7,3,4,0,SEDENTARY,BALANCED
370,Household_0370,4,2,2,0,MODERATE,BALANCED
371,Household_0371,5,2,3,0,SEDENTARY,BALANCED
372,Household_0372,4,3,0,1,MODERATE,BALANCED
373,Household_0373,2,1,0,1,ACTIVE,BALANCED
374,Household_0374,2,2,0,0,ACTIVE,VEGETARIAN
375,Household_0375,5,1,4,0,ACTIVE,LOW_SUGAR
376,Household_0376,4,1,3,0,SEDENTARY,BALANCED
377,Household_0377,3,2,1,0,MODERATE,LOW_SUGAR
378,Household_0378,3,2,1,0,SEDENTARY,BALANCED
379,Household_0379,4,3,1,0,SEDENTARY,VEGETARIAN
380,Household_0380,3,3,0,0,MODERATE,BALANCED
381,Household_0381,5,3,2,0,MODERATE,LOW_SUGAR
382,Household_0382,4,3,0,1,MODERATE,VEGETARIAN
383,Household_0383,4,3,1,0,MODERATE,VEGETARIAN
384,Household_0384,5,1,4,0,MODERATE,LOW_SODIUM
385,Household_0385,4,3,1,0,MODERATE,LOW_SUGAR
386,Household_0386,4,2,2,0,SEDENTARY,VEGETARIAN
387,Household_0387,5,3,2,0,SEDENTARY,LOW_SODIUM
388,Household_0388,2,2,0,0,MODERATE,LOW_SUGAR
389,Household_0389,2,2,0,0,ACTIVE,LOW_SODIUM
390,Household_0390,3,2,1,0,SEDENTARY,BALANCED
391,Household_0391,4,1,3,0,ACTIVE,LOW_SUGAR
392,Household_0392,2,2,0,0,MODERATE,BALANCED
393,Household_0393,4,2,2,0,SEDENTARY,LOW_SODIUM
394,Household_0394,4,2,2,0,ACTIVE,BALANCED
395,Household_0395,4,3,0,1,ACTIVE,BALANCED
396,Household_0396,6,2,4,0,MODERATE,BALANCED
397,Household_0397,3,3,0,0,MODERATE,BALANCED
398,Household_0398,4,2,2,0,MODERATE,LOW_SUGAR
399,Household_0399,1,1,0,0,ACTIVE,VEGETARIAN
400,Household_0400,6,3,3,0,MODERATE,BALANCED
401,Household_0401,4,2,2,0,SEDENTARY,BALANCED
402,Household_0402,3,1,2,0,MODERATE,LOW_SODIUM
403,Household_0403,4,2,2,0,MODERATE,BALANCED
404,Household_0404,7,2,4,1,MODERATE,BALANCED
405,Household_0405,2,2,0,0,MODERATE,LOW_SUGAR
406,Household_0406,2,2,0,0,SEDENTARY,LOW_SUGAR
407,Household_0407,4,2,2,0,MODERATE,VEGETARIAN
408,Household_0408,2,1,0,1,MODERATE,VEGETARIAN
409,Household_0409,3,1,2,0,MODERATE,BALANCED
410,Household_0410,2,2,0,0,ACTIVE,BALANCED
411,Household_0411,5,2,3,0,SEDENTARY,BALANCED
412,Household_0412,1,1,0,0,MODERATE,BALANCED
413,Household_0413,5,3,2,0,MODERATE,VEGETARIAN
414,Household_0414,2,1,0,1,ACTIVE,LOW_SODIUM
415,Household_0415,4,3,1,0,ACTIVE,LOW_SODIUM
416,Household_0416,4,1,3,0,SEDENTARY,BALANCED
417,Household_0417,6,2,3,1,MODERATE,LOW_SODIUM
418,Household_0418,3,1,2,0,SEDENTARY,BALANCED
419,Household_0419,4,3,1,0,MODERATE,BALANCED
420,Household_0420,3,2,1,0,SEDENTARY,BALANCED
421,Household_0421,2,2,0,0,MODERATE,BALANCED
422,Household_0422,3,1,2,0,SEDENTARY,BALANCED
423,Household_0423,3,1,2,0,MODERATE,LOW_SUGAR
424,Household_0424,3,3,0,0,MODERATE,VEGETARIAN
425,Household_0425,4,3,1,0,SEDENTARY,BALANCED
426,Household_0426,2,2,0,0,SEDENTARY,VEGETARIAN
427,Household_0427,2,2,0,0,MODERATE,LOW_SUGAR
428,Household_0428,4,2,2,0,MODERATE,BALANCED
429,Household_0429,3,2,1,0,MODERATE,BALANCED
430,Household_0430,3,2,1,0,SEDENTARY,BALANCED
431,Household_0431,3,3,0,0,SEDENTARY,BALANCED
432,Household_0432,4,1,2,1,ACTIVE,BALANCED
433,Household_0433,2,2,0,0,SEDENTARY,LOW_SUGAR
434,Household_0434,4,3,1,0,SEDENTARY,VEGETARIAN
435,Household_0435,1,1,0,0,MODERATE,LOW_SUGAR
436,Household_0436,5,1,3,1,MODERATE,LOW_SODIUM
437,Household_0437,3,2,1,0,ACTIVE,BALANCED
438,Household_0438,5,3,2,0,MODERATE,LOW_SODIUM
439,Household_0439,3,1,2,0,MODERATE,BALANCED
440,Household_0440,4,2,2,0,SEDENTARY,BALANCED
441,Household_0441,2,2,0,0,SEDENTARY,VEGETARIAN
442,Household_0442,2,2,0,0,ACTIVE,BALANCED
443,Household_0443,2,2,0,0,MODERATE,LOW_SUGAR
444,Household_0444,3,2,1,0,MODERATE,LOW_SUGAR
445,Household_0445,2,2,0,0,ACTIVE,VEGETARIAN
446,Household_0446,4,2,1,1,SEDENTARY,LOW_SUGAR
447,Household_0447,1,1,0,0,SEDENTARY,BALANCED
448,Household_0448,3,1,2,0,ACTIVE,LOW_SUGAR
449,Household_0449,4,2,2,0,MODERATE,BALANCED
450,Household_0450,3,1,2,0,ACTIVE,BALANCED
451,Household_0451,5,2,3,0,MODERATE,BALANCED
452,Household_0452,4,2,2,0,MODERATE,VEGETARIAN
453,Household_0453,5,1,3,1,MODERATE,BALANCED
454,Household_0454,4,2,2,0,ACTIVE,BALANCED
455,Household_0455,4,1,2,1,MODERATE,LOW_SUGAR
456,Household_0456,2,2,0,0,MODERATE,VEGETARIAN
457,Household_0457,2,2,0,0,SEDENTARY,VEGETARIAN
458,Household_0458,2,2,0,0,ACTIVE,BALANCED
459,Household_0459,2,2,0,0,ACTIVE,BALANCED
460,Household_0460,3,3,0,0,MODERATE,BALANCED
